area_import,loss_no_comp,loss_comp
Djibouti,279.68884350066327,322.5646738591873
Guinea,233.7258003199219,234.13620204838458
Nepal,197.04581658861653,197.07078930511588
Liberia,116.68595359829827,121.52741396633891
Benin,98.70828178012107,131.84377105865596
Senegal,86.45412698132347,85.77320998678559
Madagascar,68.79820004977405,69.44745232853707
Timor-Leste,65.4463867054259,155.59242958893753
Maldives,60.08762422797992,70.92741048533932
United Arab Emirates,58.79701414609195,6.197043279661739
Kuwait,53.79001518210821,49.7044615224565
Mauritius,53.1197298434957,36.33694265192393
Saudi Arabia,50.60282368185128,38.285912307777785
Côte d'Ivoire,49.62308210957968,49.24639392979459
Oman,43.45995531335081,-11.262986870097235
Malaysia,42.38832515191182,41.91310365837499
Togo,41.83633627782114,54.254762818959016
Sierra Leone,41.09133611117422,43.85500986689149
Iraq,39.92348035575656,36.078838269360226
Somalia,39.32446753990117,44.75661557414799
Iran (Islamic Republic of),38.26906019373525,38.21296049787935
Guinea-Bissau,30.78560913282094,32.2940320374762
Gambia,30.611465143306525,30.97137752383725
Eswatini,25.892758252553794,46.91890677409092
Yemen,21.06742160966096,25.69358604414066
Burkina Faso,18.645118275703066,18.426910980760812
Mozambique,16.35336805450111,15.279128514768276
Egypt,15.393607029980746,15.430901867181229
Brunei Darussalam,15.270907160597547,9.811203902006332
Haiti,13.262035645460905,13.604292315446045
Congo,13.006519830796188,25.069314035086386
Nigeria,12.52213800752209,12.145722425613643
Ghana,12.292518641672444,11.957859164552097
Mauritania,11.265825293930972,7.621987621319296
Mali,11.085313781012651,10.95778223575343
Cameroon,10.27202049177802,9.216090550806285
Jordan,9.8073625389468,10.69100165899826
Sao Tome and Principe,8.743998091706311,6.229406426618305
Nicaragua,8.732134543570014,9.372662177821011
South Africa,8.186234637426368,15.39767043104447
Niger,8.169399489778275,6.924422467501227
RoW,7.975780038859829,15.44919754065223
Namibia,7.3942097731652865,-4.2851243228543465
Botswana,6.6936602174824245,17.786869602735784
Israel,6.455634697482499,11.687385945086042
Australia,6.105385536870471,11.213103669186939
Russian Federation,6.015568340950434,5.9873211396887775
Azerbaijan,5.673980059063473,6.217884986496315
United States of America,5.602918454086609,4.96790766309178
Canada,5.275703539270384,5.013070257715577
